,Prediction
476,12.70831510466864
477,16.888049852316996
478,12.374015681577065
479,12.277205639260174
480,13.03432947326331
481,14.313080886123469
482,12.401257820293296
483,13.7140721069313
484,13.537180355884798
485,11.574672059071522
486,10.403145243168996
487,12.061404183764298
488,11.75147799810184
489,12.472803287484382
490,13.160576751226191
491,14.76310018007152
492,13.706622118791744
493,12.295875959685777
494,12.278840467892406
495,11.42292957746887
496,14.008810055196461
497,11.254480050380788
498,12.024613436834805
499,14.779242078252281
500,11.25904098092561
501,13.678062112264621
502,13.58429223862789
503,13.251673811777353
504,13.569841459271418
505,11.866510870037295
506,11.498638212325185
507,12.653150328039203
508,10.857477188765904
509,11.894437986199385
510,11.400706231626273
511,11.775298353284066
512,13.908719366619511
513,14.754890272727367
514,11.064549591888113
515,12.331327605002075
516,12.55089926746491
517,12.759236398545223
518,13.540658331865814
519,12.554884276301092
520,12.464660895667633
521,12.022875733464607
522,11.31854893974924
523,11.301116016575646
524,12.429424619222747
525,11.374463648050334
526,10.246155045403233
527,11.407780335659005
528,12.444768624868821
529,11.867922882238016
530,13.467199733242643
531,12.848743884459887
532,12.427397218842458
533,11.52962276504159
534,11.60157972277313
535,12.719873719976562
536,12.265519220640964
537,12.069399467495353
538,12.893800145524612
539,11.574818870439199
540,11.554991197646348
541,11.835945994925133
542,14.803183059211129
543,12.677371702593378
544,12.568332052240532
545,14.944047545602979
546,15.298912714142551
547,12.676128621283967
548,11.699010672417344
549,12.375291061749515
550,12.648078241090627
551,13.09723409785585
552,12.179964485992969
553,13.703534433592054
554,12.971297110149656
555,12.992193208467194
556,11.706269964650662
557,13.345138725643746
558,14.328563687563475
559,11.70395087654068
560,12.536634497494974
561,11.916539235907315
562,14.058855687574606
563,13.701238711039045
564,13.869173009491083
565,11.379712014365605
566,14.926867029960887
567,12.630628267323432
568,11.528346204633301
569,13.34551473063592
570,12.242632618198837
571,14.46189560734299
572,12.74187491228363
573,13.907939097791791
574,13.266748820685214
575,8.352622269871105
576,10.557163992777465
577,11.479205542946257
578,11.556468902851108
579,12.929086930997832
580,12.159581596973771
581,11.546002837833
582,13.00214439435496
583,14.030812634285624
584,11.473219721318745
585,12.50292286226129
586,10.065243152704786
587,12.269667616003208
588,13.571978938892554
589,12.693156931901791
590,10.372579833974081
591,10.016334206399186
592,12.439531844752146
593,12.52965601316044
594,12.659250797626642
595,12.094943266454816
596,12.562655414780798
597,9.620955071323472
598,12.185448723043978
599,13.026181774147238
600,12.538660391205184
601,12.457853337346656
602,18.28106241939543
603,17.797284677746624
604,11.602843494667345
605,13.804585935154643
606,15.373747317533157
607,11.683896222101712
608,12.755283750804972
609,11.882498302241308
610,12.385007838371346
611,11.101008989493824
612,12.059345184593433
613,13.603865177277537
614,14.19116669358212
615,12.22883705086866
616,11.068167735387627
617,11.363581693701287
618,11.03263937575281
619,12.517885365794163
620,12.21439652501598
621,12.70271914875909
622,11.787644068676137
623,12.526585739140605
624,13.254405097391976
625,13.173212090784734
626,13.833371459684543
627,12.117639477097471
628,12.036446470490228
629,12.920772147899143
630,10.25533472111373
631,14.234739154718278
632,16.33936918805728
633,12.658607757322843
634,12.768823567068097
635,13.055429408387088
636,11.620768283760505
637,13.561184961110104
638,12.783892646262592
639,12.456424043152248
640,13.817589880614468
641,11.184032830839646
642,11.860233769318635
